;Lab_ID;year;vineyard;row_ID;unique_rowID;treatment;cover_type;variety;row_disturbance;plot_disturbance;green;dist_type;year.;SOM_perc;CN;N_perc;Cu_mg.kg;Cu_Cat;pH;total_C_perc;clay;sand;plant_cover;plant_spec;plant_simp;plant_shannon;biomass;basal_res;sir;cmic;h2o_perc;wloss_g_perc;wlossr_perc;k;latitude;longitude;elevation;age_trtm;Cu_fungapp;fung_app
15-15;15.15;2015;21;121;121_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;4.159488595;1.15272207;0.146;51.59304348;2;6.98;1.456;7.727729333;56.64980033;11.5;5.5;0.616391185;1.039045277;0.9574;2.363;11.01133333;292.8996667;11.14735732;74.19047938;38.94574233;0.017599458;46.297439;7.515724;751.4;12;1.2;2.8
153-15;153.15;2015;13;113;113_15;AC;altb;Chasselas;3;2;no;chem;2015;7.336285234;-0.229183942;0.227;114.1442609;3;7.12;2.014;5.138937778;40.54489789;10.875;4.25;0.26962963;0.516068811;2.0942;3.611333333;19.87466667;528.664;14.56333333;66.94375565;26.64102757;0.01015519;46.173281;7.182083;567.5;10;2.666666667;2
156-15;156.15;2015;13;213;213_15;AC;altg;Chasselas;2;2;green;chem;2015;3.235076351;-0.357592673;0.2;84.79095652;2;7.17;1.754;5.138937778;40.54489789;63.125;7.25;0.372776952;0.728168964;3.6622;3.735333333;26.25366667;698.3426667;12.95439739;68.48258395;31.40277408;0.012283803;46.173281;7.182083;567.5;10;2.666666667;2
161-15;161.15;2015;13;213;213_15;AC;altg;Chasselas;2;2;green;chem;2015;3.235076351;-0.357592673;0.2;84.79095652;2;7.17;1.754;5.138937778;40.54489789;63.125;7.25;0.372776952;0.728168964;3.6622;3.735333333;26.25366667;698.3426667;12.95439739;68.48258395;31.40277408;0.012283803;46.173281;7.182083;567.5;10;2.666666667;2
16-15;16.15;2015;21;121;121_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;4.159488595;1.15272207;0.146;51.59304348;2;6.98;1.456;7.727729333;56.64980033;11.5;5.5;0.616391185;1.039045277;0.9574;2.363;11.01133333;292.8996667;11.14735732;74.19047938;38.94574233;0.017599458;46.297439;7.515724;751.4;12;1.2;2.8
162-15;162.15;2015;13;113;113_15;AC;altb;Chasselas;3;2;no;chem;2015;7.336285234;-0.229183942;0.227;114.1442609;3;7.12;2.014;5.138937778;40.54489789;10.875;4.25;0.26962963;0.516068811;2.0942;3.611333333;19.87466667;528.664;14.56333333;66.94375565;26.64102757;0.01015519;46.173281;7.182083;567.5;10;2.666666667;2
166-15;166.15;2015;32;132;132_15;AC;altb;Chasselas;3;2;no;chem;2015;21.8526;0.121098888;0.258;441.740087;4;7.02;2.361;2.921489889;67.95855611;0.625;3;0.222222222;0.318257084;3.4662;4.868;23.49466667;624.9583333;21.48859935;66.38041449;34.63795565;0.018541976;46.19415;7.23142;546.6;3;0.666666667;2.333333333
170-15;170.15;2015;27;127;127_15;CC;green;Chasselas;1;1;green;green;2015;25.3528;2.344372545;0.573;309.41;4;6.88;6.258;5.966496667;46.564867;27;8.5;0.700187649;1.338513658;3.9758;10.37433333;47.088;1252.538333;31.8048618;68.78863744;36.19300711;0.01664551;46.1894;7.2303;519.6;10;2.5;2.5
17-15;17.15;2015;21;121;121_15;aa_BG;aa_bare;Pinot_noir;4;3;no;chem;2015;4.159488595;1.15272207;0.146;51.59304348;2;6.98;1.456;7.727729333;56.64980033;11.5;5.5;0.616391185;1.039045277;0.9574;2.363;11.01133333;292.8996667;11.14735732;74.19047938;38.94574233;0.017599458;46.297439;7.515724;751.4;12;1.2;2.8
174-15;174.15;2015;27;127;127_15;CC;green;Chasselas;1;1;green;green;2015;25.3528;2.344372545;0.573;309.41;4;6.88;6.258;5.966496667;46.564867;27;8.5;0.700187649;1.338513658;3.9758;10.37433333;47.088;1252.538333;31.8048618;68.78863744;36.19300711;0.01664551;46.1894;7.2303;519.6;10;2.5;2.5
